,USAF,YR--MODAHRMN,TEMP,MAX,MIN
11011,29980,201708030600,65.0,66.0,60.0
11023,29980,201708031800,62.0,72.0,62.0
11035,29980,201708040600,58.0,62.0,58.0
11047,29980,201708041800,63.0,69.0,58.0
11059,29980,201708050600,64.0,64.0,59.0
11071,29980,201708051800,62.0,68.0,61.0
11083,29980,201708060600,63.0,63.0,59.0
11095,29980,201708061800,58.0,69.0,58.0
11107,29980,201708070600,60.0,60.0,57.0
11119,29980,201708071800,58.0,66.0,58.0
11129,29980,201708080600,63.0,63.0,53.0
11141,29980,201708081800,63.0,71.0,62.0
11153,29980,201708090600,64.0,64.0,56.0
11165,29980,201708091800,65.0,72.0,64.0
11177,29980,201708100600,64.0,67.0,63.0
11189,29980,201708101800,63.0,72.0,63.0
11201,29980,201708110600,65.0,65.0,57.0
11213,29980,201708111800,64.0,72.0,63.0
11225,29980,201708120600,67.0,67.0,60.0
11237,29980,201708121800,64.0,77.0,62.0
11249,29980,201708130600,63.0,65.0,62.0
11261,29980,201708131800,61.0,70.0,61.0
11273,29980,201708140600,59.0,61.0,50.0
11285,29980,201708141800,64.0,70.0,60.0
11297,29980,201708150600,62.0,63.0,53.0
11317,29980,201708160600,63.0,63.0,54.0
11329,29980,201708161800,66.0,69.0,63.0
11341,29980,201708170600,64.0,66.0,62.0
11353,29980,201708171800,67.0,73.0,64.0
11365,29980,201708180600,65.0,68.0,61.0
11377,29980,201708181800,62.0,70.0,62.0
11389,29980,201708190600,64.0,64.0,60.0
11401,29980,201708191800,63.0,72.0,63.0
11413,29980,201708200600,64.0,64.0,60.0
11425,29980,201708201800,61.0,68.0,61.0
11437,29980,201708210600,62.0,62.0,58.0
11449,29980,201708211800,61.0,66.0,61.0
11461,29980,201708220600,57.0,61.0,54.0
11473,29980,201708221800,59.0,65.0,57.0
11485,29980,201708230600,53.0,60.0,50.0
11497,29980,201708231800,58.0,63.0,53.0
11509,29980,201708240600,54.0,58.0,51.0
11521,29980,201708241800,54.0,65.0,54.0
11533,29980,201708250600,51.0,54.0,47.0
11545,29980,201708251800,53.0,57.0,51.0
11557,29980,201708260600,53.0,53.0,44.0
11569,29980,201708261800,51.0,61.0,51.0
11581,29980,201708270600,51.0,51.0,43.0
11593,29980,201708271800,52.0,59.0,51.0
11605,29980,201708280600,52.0,52.0,48.0
11616,29980,201708281800,55.0,62.0,52.0
11628,29980,201708290600,58.0,58.0,46.0
11640,29980,201708291800,62.0,64.0,58.0
11652,29980,201708300600,60.0,62.0,59.0
11664,29980,201708301800,63.0,67.0,60.0
11676,29980,201708310600,61.0,63.0,59.0
11688,29980,201708311800,64.0,66.0,61.0
